fspace_hash,fsspace_hash,nfeatures,features,targets
-337957417,-1689288357,16,"{{-14.959841313840421,0,-1.018046664056702,-3.9545826017063983,-2.4849066497880004,-9.210340371976182,-9.284597073387866,-2.4849066497880004,-9.173327476094075,-1.460443378791355,-1.4276028485333916,-1.0132201384318322,-12.367328027087364,-15.242798338910262,-1.7739374185600167,-0.3476424561194023}}",{1.0986122886681098}
-680379475,-1316085480,2,"{{-11.806862931584517,-9.597641509456675}}",{2.6390573296152584}
-195594584,1952021877,2,"{{-9.210340371976182,-9.597641509456675}}",{9.468928284223587}
-802871442,127855847,13,"{{-0.09412907198595906,-0.6931471805599453,-0.6931471805599453,-1.3862943611198906,-2.890371757896165,-0.8610071948870133,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-0.7175764855574894,-4.707678616916818,-8.047189562170502,-1.3862943611198906}}",{7.390798521735676}
-595026657,-928154234,4,"{{-1.3862943611198906,-1.6339169175931774,-1.3862943611198906,-1.0324330778364068}}",{6.682108597449809}
-195594584,-175391330,2,"{{-14.742975821546908,-0.36049219586979037}}",{0}
-595026657,1444280349,2,"{{-0.36049219586979037,-14.742975821546908}}",{0}
-802871442,-555810034,14,"{{-0.09412907198595906,-0.6931471805599453,-0.6931471805599453,-1.3862943611198906,-2.87977128468709,-0.8610071948870133,-0.11055918996513683,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-0.7175764855574894,-8.047189562170502,-1.0124094052603678,-12.367328027087364}}",{5.66988092298052}
-680379475,1444280349,2,"{{-1.8628594276924355,-14.742975821546908},{-10.795669153638222,-14.742975821546908},{-0.5976602103105778,-14.742975821546908}}","{0,0,0}"
-195594584,1899871027,4,"{{-9.210340371976182,-14.742975821546908,-0.36049219586979037,-9.597641509456675}}",{8.971321471503682}
-595026657,1552601125,6,"{{-0.36049219586979037,-14.742975821546908,-1.3862943611198906,-1.6339169175931774,-1.3862943611198906,-1.0324330778364068}}",{6.642486801367256}
-680379475,1456509229,4,"{{-1.8628594276924355,-14.742975821546908,-11.806862931584517,-9.597641509456675},{-10.795669153638222,-14.742975821546908,-11.806862931584517,-9.597641509456675},{-0.5976602103105778,-14.742975821546908,-11.806862931584517,-9.597641509456675}}","{2.3978952727983707,0.6931471805599453,2.3978952727983707}"
-802871442,-866862279,16,"{{-0.09412907198595906,-0.6931471805599453,-0.6931471805599453,-1.3862943611198906,-2.890371757896165,-0.8610071948870133,-1.3862943611198906,-0.11055918996513683,-1.3862943611198906,-1.3862943611198906,-0.7175764855574894,-4.707678616916818,-8.047189562170502,-1.0124094052603678,-12.367328027087364,-1.3862943611198906}}",{6.558197802812269}
-802871442,2071262397,8,"{{-0.6931471805599453,-0.6931471805599453,-1.3862943611198906,-2.890371757896165,-1.3862943611198906,-1.3862943611198906,-0.7175764855574894,-8.047189562170502}}",{6.677083461247136}
